AVA 901 36/1	R1A	EA 15 Functional Structure	15
. . . CAA 901 3127/3	R1A	Aggregator	
. . . . CXS 102 3729	R1A	Apache Commons IO	
. . . . . 9/CAX 105 3602	R1A	Apache Commons IO	2.4
. . . . CXS 102 3383	R1A	Apache Commons Virtual File Systems (VFS)	2
. . . . . 2/CAX 105 3418	R1A	Apache Commons Virtual File Systems (VFS)	2
. . . . CXS 102 3809	R1A	Storm	0.9.0.1
. . . . . 1/CAX 105 6660	R1A	storm	0.9.0.1
. . . CAA 901 3163/3	R1A	Stream Analytics	
. . . . CXS 102 3809	R1A	Storm	0.9.0.1
. . . . . 1/CAX 105 6660	R1A	storm	0.9.0.1
. . . . CXS 102 3335	R1A	Snappy-java	1.1.0
. . . . . 1/CAX 105 6425	R1A	snappy-java	1.1.0
. . . . CXS 102 3334	R2A	json-smart	1.1.1
. . . . . 2/CAX 105 6446	R1A	json-smart	1.1.1
. . CNA 403 2671/3	R1A	ESR-library	
. . . CAA 901 3116/3	R1A	ESR-library	
. . . . CXS 102 3335	R1A	Snappy-java	1.1.0
. . . . . 1/CAX 105 6425	R1A	snappy-java	1.1.0
. . CNA 403 2646/3	R1A	Probe	
. . . CAA 901 3066/3	R1A	Cupcake	
. . . . CXS 102 3808	R1A	ixgbe	3.19.1
. . . . . 7/CAX 105 4941	R1A	Network Adapter Driver (ixgbe), Intel	3.19.1
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3328	R2A	boost	1.57.0
. . . . . 24/CAX 105 3305	R1A	Boost	1.57.0
. . . . CXS 102 3331	R1A	protobuf-c  0.15	0.15
. . . . . 2/CAX 105 6296	R1A	protobuf-c	0.15
. . . CAA 901 3068/3	R1A	Uplane	
. . . . CXS 102 3336	R1A	protobuf 2.3.0	2.3.0
. . . . . 1/CAX 105 4389	R1A	Protocol Buffers  (protobuf)	2.3.0
. . . . CXS 102 3337	R1A	libxml++ 2.30.0	2.30.0
. . . . . 2/CAX 105 6218	R1A	libxml++	2.30.0
. . . . CXS 102 3759	R2A	zLib	1.2.3
. . . . . 12/CAX 105 3102	R1A	zLib	1.2.8
. . . . CXS 102 3339	R1A	hiredis	0.10.1
. . . . . 1/CAX 105 6435	R1A	hiredis	0.11.0
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3328	R2A	boost	1.57.0
. . . . . 24/CAX 105 3305	R1A	Boost	1.57.0
. . . . CXS 102 3331	R1A	protobuf-c  0.15	0.15
. . . . . 2/CAX 105 6296	R1A	protobuf-c	0.15
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . CXS 102 5071	R1A	Re2	20130115-2.EL6
. . . . . 2/CAX 105 7086	R1A	RE2	20130115
. . . CAA 901 3065/3	R1A	GTPC Parser	
. . . . CXS 102 3339	R1A	hiredis	0.10.1
. . . . . 1/CAX 105 6435	R1A	hiredis	0.11.0
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3336	R1A	protobuf 2.3.0	2.3.0
. . . . . 1/CAX 105 4389	R1A	Protocol Buffers  (protobuf)	2.3.0
. . . . CXS 102 3337	R1A	libxml++ 2.30.0	2.30.0
. . . . . 2/CAX 105 6218	R1A	libxml++	2.30.0
. . . . CXS 102 3328	R2A	boost	1.57.0
. . . . . 24/CAX 105 3305	R1A	Boost	1.57.0
. . . . CXS 102 3331	R1A	protobuf-c  0.15	0.15
. . . . . 2/CAX 105 6296	R1A	protobuf-c	0.15
. . . . CXS 102 3759	R2A	zLib	1.2.3
. . . . . 12/CAX 105 3102	R1A	zLib	1.2.8
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . CXS 102 5071	R1A	Re2	20130115-2.EL6
. . . . . 2/CAX 105 7086	R1A	RE2	20130115
. . CNA 403 2702/3	R1A	Event Stream Cache (ESC)	
. . . CAA 901 3142/3	R1A	Pag	
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . CXS 102 3331	R1A	protobuf-c  0.15	0.15
. . . . . 2/CAX 105 6296	R1A	protobuf-c	0.15
. . . . CXS 102 3328	R2A	boost	1.57.0
. . . . . 24/CAX 105 3305	R1A	Boost	1.57.0
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . CNA 403 2672/3	R1A	CA interface	
. . . CAA 901 3117/3	R1A	CA interface	
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . CNA 403 2673/3	R1A	Adapter	
. . . CAA 901 3101/3	R1A	EBM adapter	
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3341	R1A	python-libconfig	0.0.1
